group_value,rows,mae_log,rmse_log,mae_eur,group_column
Bundesliga,319,0.6387055310671718,0.794760762258396,6451553.85471452,cleaned_comp
La Liga,345,0.6147072687013839,0.7804104027091331,6763659.412148144,cleaned_comp
Ligue 1,325,0.6287198848568764,0.794739813813625,5041915.948339339,cleaned_comp
Premier League,362,0.538619589282712,0.7063037609019989,10392688.317553198,cleaned_comp
Serie A,372,0.5764697062531524,0.7247773848432736,5437541.938603924,cleaned_comp
DF,488,0.6057477084771562,0.7708913674761725,6127654.492773377,position_group
FW,481,0.5842285555530922,0.7344392307494843,8121330.267723194,position_group
MF,754,0.6007470023600993,0.7668803381058544,6523069.470718807,position_group
23/24,1723,0.5975519772126549,0.7591151846419416,6857254.574678029,season
