feature,coefficient,abs_coefficient
num__age_squared,-1.7721918702427102,1.7721918702427102
num__Age,1.3523632337190323,1.3523632337190323
cat__cleaned_comp_Premier League,0.5815245520655977,0.5815245520655977
num__contract_missing,-0.4037087482322197,0.4037087482322197
cat__cleaned_comp_Ligue 1,-0.37020723738169703,0.37020723738169703
num__goals_per90,0.3051909703009662,0.3051909703009662
num__contract_years_remaining,0.26893586830198407,0.26893586830198407
num__shots_per90,0.24801527346110405,0.24801527346110405
cat__position_group_FW,-0.2409649530614802,0.2409649530614802
num__assists_per90,0.2310382473324451,0.2310382473324451
cat__position_group_MF,0.13782693999339907,0.13782693999339907
num__crosses_per90,-0.13782424754932737,0.13782424754932737
num__90s,0.11521130929008894,0.11521130929008894
num__shots_on_target_per90,-0.11440105225264557,0.11440105225264557
cat__position_group_DF,0.10313801306896142,0.10313801306896142
cat__cleaned_comp_Serie A,-0.08356559670206032,0.08356559670206032
num__transfer_count_before_valuation,-0.0821474829290416,0.0821474829290416
num__Min,0.07898548067097551,0.07898548067097551
num__days_since_last_transfer,0.07618059374771052,0.07618059374771052
num__fouls_per90,-0.07282115431782361,0.07282115431782361
cat__cleaned_comp_Bundesliga,-0.0723520860327486,0.0723520860327486
num__Starts,0.0678747954997434,0.0678747954997434
cat__cleaned_comp_La Liga,-0.055399631948249775,0.055399631948249775
num__fouled_per90,0.05116378511311941,0.05116378511311941
cat__season_21/22,-0.03653727135878202,0.03653727135878202
cat__season_22/23,0.03653727135857668,0.03653727135857668
num__interceptions_per90,-0.010632071137090532,0.010632071137090532
num__loan_count_before_valuation,-0.009065378809696892,0.009065378809696892
num__tackles_won_per90,-0.008414114510675296,0.008414114510675296
