,log_market_value_eur
log_market_value_eur,1.0
market_value_eur,0.7307529681422107
contract_years_remaining,0.43712837233033125
Min,0.34750329022480886
90s,0.3474714818699681
goals_per90,0.1808617357290487
shots_per90,0.15561909658503026
shots_on_target_per90,0.14794317896064377
assists_per90,0.09823775335277102
days_since_last_transfer,0.00292006781082743
crosses_per90,-0.005672864511596849
tackles_won_per90,-0.06320663424105101
interceptions_per90,-0.08264719670497965
transfer_count_before_valuation,-0.17640838456172514
Age,-0.2548326165089732
